date,geo,title,department,link,university,description,more
2017 - 2024,"Berlin, Germany",Doctoral Studies,Department of Cultural History and Theory,https://edoc.hu-berlin.de/items/93977c09-302e-4d2a-bd79-ea3d0ade955d,"Dissertation: »Festgeschrieben - Cultural-technical manifestations of museum collection orders and transformative effects of digital technologies«","co-supervised by Prof. Dr. Christian Kassung at the Department of Cultural History and Theory (Humboldt-University Berlin) and Prof. Dr. Claudia Müller-Birn at the Institute for Computer Science (Freie Universität Berlin)."
2004 - 2010,"Lüneburg, Germany",Magistra Artium,Cultural Studies,https://www.leuphana.de/,Leuphana Universität Lüneburg,"Art History, Art Sociology, Visual Studies, Cultural Theory, Digital Media Culture"
